Mes,QuantidadeReclamacoes
2014-01,2953
2014-02,3138
2014-03,2832
2014-04,2789
2014-05,2269
2014-06,1519
2014-07,1694
2014-08,1449
2014-09,1978
2014-10,2180
2014-11,1690
2014-12,1712
2015-01,2814
2015-02,3105
2015-03,3136
2015-04,2386
2015-05,2259
2015-06,2127
2015-07,2283
2015-08,1984
2015-09,3172
2015-10,3188
2015-11,5374
2015-12,6522
2016-01,3978
2016-02,3721
2016-03,3481
2016-04,2495
2016-05,1072
2016-06,1401
2016-07,1799
2016-08,2377
2016-09,2111
2016-10,3133
2016-11,3430
2016-12,3976
2017-01,4134
2017-02,3020
2017-03,3690
2017-04,2344
2017-05,2207
2017-06,1814
2017-07,2071
2017-08,1898
2017-09,2038
2017-10,3226
2017-11,2859
2017-12,3080
2018-01,3821
2018-02,2683
2018-03,3416
2018-04,2155
2018-05,1884
2018-06,1695
2018-07,1498
2018-08,1644
2018-09,2069
2018-10,3497
2018-11,3180
2018-12,4158
2019-01,5713
2019-02,5238
2019-03,4549
2019-04,3331
2019-05,2777
2019-06,2176
2019-07,2396
2019-08,2193
2019-09,2665
2019-10,3915
2019-11,4292
2019-12,3430
2020-01,4410
2020-02,3997
2020-03,3488
2020-04,2526
2020-05,2767
2020-06,2528
2020-07,3422
2020-08,2585
2020-09,3012
2020-10,5062
2020-11,4269
2020-12,4746
2021-01,4709
2021-02,4159
2021-03,4358
2021-04,3111
2021-05,2826
2021-06,2615
2021-07,2561
2021-08,2742
2021-09,3142
2021-10,4595
2021-11,3222
2021-12,3907
2022-01,4919
2022-02,3942
2022-03,4154
2022-04,3281
2022-05,3087
2022-06,2433
2022-07,2230
2022-08,2572
2022-09,2377
2022-10,2906
2022-11,3188
2022-12,3960
